variable_name,label,questionnaire,source_file,category,type
ST164Q04IA,Usefulness for understanding and memorising text: I underline important parts of the text.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST164Q05IA,Usefulness for understanding and memorising text: I summarise the text in my own words.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST164Q06IA,Usefulness for understanding and memorising text: I read the text aloud to another person.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST165Q01IA,"Usefulness for writing a summary: I write a summary. Then I check that each paragraph is covered in the summary, [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST165Q02IA,Usefulness for writing a summary: I try to copy out accurately as many sentences as possible.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST165Q03IA,"Usefulness for writing a summary: Before writing the summary, I read the text as many times as possible.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST165Q04IA,Usefulness for writing a summary: I carefully check whether the most important facts in the text are represented [...],Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST165Q05IA,"Usefulness for writing a summary: I read through the text, underlining the most important sentences. Then I write [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST166Q01HA,How appropriate in reaction to this email: Answer the email and ask for more information about the smartphone,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST166Q02HA,How appropriate in reaction to this email: Check the sender's email address,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST166Q03HA,How appropriate in reaction to this email: Click on the link to fill out the form as soon as possible,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST166Q04HA,How appropriate in reaction to this email: Delete the email without clicking on the link,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST166Q05HA,How appropriate in reaction to this email: Check the website of the mobile phone operator to see whether [...],Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST016Q01NA,"Overall, how satisfied are you with your life as a whole these days?",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST036Q05TA,Thinking about your school: Trying hard at school will help me get a good job.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST036Q06TA,Thinking about your school: Trying hard at school will help me get into a good <college>.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST036Q08TA,Thinking about your school: Trying hard at school is important.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q01HA,Do you expect to complete? <ISCED level 2>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q02HA,Do you expect to complete? <ISCED level 3B or C>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q03HA,Do you expect to complete? <ISCED level 3A>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q04HA,Do you expect to complete? <ISCED level 4>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q05HA,Do you expect to complete? <ISCED level 5B>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST225Q06HA,Do you expect to complete? <ISCED level 5A or 6>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
