CNT,academic,pct_multi,pct_severe,mean_hardship,escs_mean,pct_bullied,pct_low_belong,pct_no_quiet,pct_no_desk,pct_skip,pct_threatened,n_students,oecd,name
PER,401.5223273590627,9.649502202325735,3.6156214604503023,0.9581205038714766,-1.1210176934498135,13.916648434716894,15.657328915580267,19.793579085249206,19.46007400316246,22.238355415232576,4.746064533206257,6086.0,False,Peru
PHL,349.7306602327653,49.03956760184231,25.60866907466633,2.481825778528229,-1.4220883106854838,72.56802608911582,31.825851529559607,30.173206932764984,24.10570618638013,36.28764683038027,53.222140284622085,7233.0,False,Philippines
POL,512.8463772605311,18.485523496224687,5.888231768481895,1.3465782587336341,-0.14461791733243679,43.22542189103393,28.738117198325476,4.428998369954783,3.856606229517517,37.07240675312258,17.336275431409113,5625.0,True,Poland
PRT,491.98850658808027,11.618400567107656,3.5138845565357695,0.9855570107452924,-0.3884997666614008,26.037790486580786,15.829568495766393,4.115724146001912,4.521395171954354,38.75404663386772,9.297176140358069,5932.0,True,Portugal
QAT,413.4825548825916,31.364211401122844,15.112321905046652,1.856908472385489,0.279986214578111,46.35491243914135,29.263316948329226,13.468618752279015,18.711445077094215,54.052434414418926,23.840119607286166,13828.0,False,Qatar
QAZ,402.2270091924585,18.389611649820758,7.5989438583779485,1.2236423208229459,-0.5550585663736655,22.598576790778985,25.73982408220819,8.678117962209877,5.352814109892821,41.79630032187648,18.198598815328232,6827.0,False,Baku (AZE)
QCI,579.0274935156026,9.16685769448441,2.1524885818501116,0.8860984779709169,-0.6651269265421312,34.725845975488085,28.001506155004734,6.0104219450538885,2.7048846753152613,7.179237965558682,9.987951080671035,12058.0,False,B-S-J-Z (China)
QMR,488.63140545283795,28.35173193051091,11.587502364599207,1.6952332183517986,0.33595680235298736,50.84700932402527,37.97024805357822,10.966967157000825,2.2078471779871274,42.865297671499526,24.665952451088895,2016.0,False,Moscow Reg.
QRT,467.1720648548905,26.51048063399328,9.917078937813512,1.6486690985872843,0.1341926323781077,53.433455807871354,36.45673693674098,8.778254751612804,2.5266022027142525,40.44309468123043,23.22876547855863,5816.0,False,Tatarstan
ROU,427.79373333676085,27.388626702653912,9.43462259476032,1.7234545487697754,-0.46574568345701983,51.82556323030133,21.798110983005245,5.244823302564658,2.7071780391803277,65.68505282321748,25.08472649870852,5075.0,False,Romania
RUS,481.33538416407663,26.188531576749558,9.555503955578061,1.6115460557738246,0.13408380980507023,50.41653162778541,36.661410411940025,10.418694961325603,2.536293288793532,40.54601137154768,20.575663915990226,7608.0,False,Russia
SAU,386.2122030951025,36.13322130255204,17.427488043294886,2.1164827472842043,-0.704908947355545,39.23421157771494,23.03014420255434,14.236608009989268,47.79531460584817,66.57176021047202,20.780236121841707,6136.0,False,Saudi Arabia
SGP,556.4697958609936,20.413494032693535,7.846876394105892,1.4723960490144805,0.16824591678671116,56.80643853796793,26.491368627040156,21.682473628363542,7.8141808547810125,18.003220616938208,16.44192263635721,6676.0,False,Singapore
SRB,442.5410956556553,14.60430620774498,5.599860805939884,1.0537259699807369,-0.23855958205533237,24.95418837197505,20.597403982568277,5.874923400121404,1.7708431235762712,36.38142104849445,15.793817071338228,6609.0,False,Serbia
SVK,469.3987998926006,19.275824206610583,7.620282376302527,1.2926175565031863,-0.21123525118595637,37.605127460132124,30.541660962530614,9.72095060987533,8.511800343849316,24.46209757609054,18.4201186978407,5965.0,True,Slovakia
SVN,503.74990172723494,13.179007363743711,4.369119880326515,1.0185499685811452,0.07269837993677425,30.081675286963065,22.28009843712082,7.041699968560663,1.4770018962992257,28.21610155822598,12.758419710944763,6401.0,True,Slovenia
SWE,502.53920423810484,11.31473692147488,3.8513909024243875,0.9988562699604908,0.360590973463838,35.27449603038682,21.544327067354377,6.659801575493714,8.361940392233608,17.359684018399985,10.685377912180579,5504.0,True,Sweden
TAP,516.4975703680159,9.065726153137451,2.743106016395262,0.9035156924144693,-0.31511869920715624,24.64851543984216,22.420741347174935,16.99042642444231,7.451899893466428,13.464038272331527,5.375947864189564,7243.0,False,Chinese Taipei
THA,412.419197548272,38.456111951666365,20.29837521634787,2.120445850746539,-1.297471128052454,45.09556371823364,38.74128176934446,30.375063215116178,15.113581812239252,56.01153295340401,26.707561606316343,8633.0,False,Thailand
TUR,462.47968771348286,26.72038932679119,11.230046340320076,1.7113999461725389,-1.1484170251406425,36.90556484985405,31.13522886947355,12.542656711685998,10.002070628837444,61.35196957510436,19.20250398229847,6890.0,True,Turkey
UKR,462.685129893543,18.05741018111983,6.0906694633127225,1.2987678667985991,-0.20416986007918628,36.49539440165403,27.65265501400343,3.6884667206226447,1.357863551395818,44.37621311351994,16.306193878664047,5998.0,False,Ukraine
URY,423.5306373673768,16.053907089031817,6.597600121057402,1.2424942102058738,-0.991896077563442,25.451086081326213,19.62957079831393,11.673668817261852,15.77758654115535,41.01156818529725,10.705940597232788,5263.0,False,Uruguay
USA,495.3258401427317,23.454302455713226,9.522286832951723,1.584216378145624,0.10638241813708485,48.85355434150093,32.65269123161698,11.115245168023321,20.09811727889021,28.402146425295925,17.29988336923503,4838.0,True,USA
VNM,,16.917054878623915,5.478276364023502,1.3107513146275005,-1.621610647604636,50.85285755818487,25.513697012950203,14.37671324243571,6.7210831877733686,14.259426340259832,19.351354121146052,5377.0,False,Vietnam
