country,oecd,n_students,perf_math,perf_read,perf_scie,perf,lifesat,belong,bullied,swbp,gfofail,escs_mean,z_lifesat,z_belong,z_bullied,z_swbp,z_gfofail,z_bullied_inv,z_gfofail_inv,wellbeing_composite,quadrant
GBR,1,13818,501.7698991139204,503.9281092060454,504.66747353358465,503.45516061785014,6.163644837671382,-0.19135250540448193,0.24086995398631886,-0.2889619545142974,0.2746110533586755,0.2711634506234007,-1.7521330064188376,-0.5145819242079692,0.5923624483849563,-1.7719214730563582,1.3497458579707073,-0.5923624483849563,-1.3497458579707073,-1.1961489420077658,hi_lo
GEO,0,5572,397.58635524417724,379.75254064634555,382.66360635191205,386.6675007474783,7.604144001108184,-0.10419596409157374,-0.206461763772164,-0.12716350193729098,-0.3178278149605748,-0.4069823855895632,0.5901305371885375,-0.0853393916300756,-1.162846885556011,-1.0316207733230869,-1.262226919608691,1.162846885556011,1.262226919608691,0.3796488354800154,lo_hi
GRC,1,6403,451.3703437702818,457.414394703693,451.6327416466291,453.47249337353463,6.989041775441021,0.01693863478072683,0.0059771256527506355,-0.045323368376032305,-0.08737036597943537,-0.10963616903208936,-0.41003076476917777,0.5112437359182953,-0.3292938268122969,-0.6571653494504224,-0.2461751118722102,0.3292938268122969,0.2461751118722102,0.0039033120766404526,lo_lo
HKG,0,6037,551.1542741271002,524.2831171519503,516.6861295472212,530.7078402754239,6.273171655344452,-0.38847620731734495,0.11193345258753055,-0.05546886844183896,0.38890690827031354,-0.5092104218703054,-1.5740414957851907,-1.4854083907657407,0.08645029917529021,-0.7035855758384711,1.853658881885419,-0.08645029917529021,-1.853658881885419,-1.1406289286900222,hi_lo
HRV,0,6609,464.20427271196877,478.98915239507573,472.3626195729771,471.8520148933406,7.6873927447247095,0.05738001593895027,-0.19891136950253477,0.2618679290546208,-0.2216365935417578,-0.23067086302576265,0.7254936822520095,0.7104159450010435,-1.1332211694020253,0.7483730152113064,-0.8381344685160482,1.1332211694020253,0.8381344685160482,0.8311276560764866,hi_hi
HUN,1,5132,481.08263635624405,475.98667224503316,480.91169388228616,479.32700082785436,7.116134376534413,0.07436744286575547,-0.10867046404293364,0.1877963764909684,-0.09661518919469068,-0.11885461283544603,-0.2033771451356476,0.7940783534238964,-0.7791401300345175,0.4094623438184305,-0.2869341299972138,0.7791401300345175,0.2869341299972138,0.41324756242768207,hi_lo
IDN,0,12098,378.6681322990295,370.96538184622585,396.07005465060126,381.9011895986189,7.4697429702334315,-0.13642485021249812,0.3929545620578267,0.33284516285433224,-0.18675902382456058,-1.5673444364199882,0.3715933503358135,-0.2440653861718214,1.1891015416320554,1.0731257863915518,-0.6843645733910112,-1.1891015416320554,0.6843645733910112,0.13918335646289995,lo_hi
IRL,1,5577,499.6328940376676,518.0784591193935,496.1135618725837,504.6083050098816,6.73503153957125,-0.1532608560983488,0.13336397278655612,-0.08939980144732666,0.2064853373322573,0.12550099163794548,-0.8230535073589044,-0.3269820519329554,0.17053789589886684,-0.8588348569439878,1.049389947463127,-0.17053789589886684,-1.049389947463127,-0.6457596519195683,hi_lo
ISL,1,3296,495.18737617387626,473.9743167673447,475.02410633375797,481.39526642499294,7.33872828277421,0.09964881151532669,-0.18852264492873091,-0.08878178889470179,0.000598517470553502,0.5465637180852405,0.1585623858604828,0.9185880981052186,-1.0924586086092152,-0.8560071715250906,0.1416663028838644,1.0924586086092152,-0.1416663028838644,0.2343871236331923,hi_hi
ITA,1,11785,486.58985801290993,476.2846796926671,468.0117278915128,476.9620885323632,6.912532401985214,0.043556337184396395,-0.06915266473746733,,0.03833448636984899,-0.21890996483617664,-0.5344356382591591,0.6423348716958879,-0.6240829153453294,,0.3080384448403376,0.6240829153453294,-0.3080384448403376,0.10598592598543016,hi_lo
