CNT,ct_score,academic,math_score,read_score,scie_score,ESCS,CREATSCH,CREATEFF,CREATACT,CREATOR,CREATOPN,TEACHSUP,BELONG,DISCLIM,n_students,quadrant
PAN,23.22168153306744,378.76482781568507,356.57350391859563,391.95335519352005,387.7676243349396,-0.9467632798211757,0.3787201298823808,0.4308589514600134,0.39655094489428944,0.4004455501168528,0.4252240492925626,0.48318202359076884,-0.19132542628509674,0.07190100972491031,4544.0,Low Both
PER,23.453477318211014,402.42046723878025,391.2357846402293,408.2478560897409,407.7777609863705,-1.1534973668700967,0.5236309009455762,0.254612701641886,,,,0.5001777346476751,-0.20245438066862523,0.17657274830711522,6968.0,Low Both
PHL,14.200975332166253,352.4781310898077,354.71971278885803,346.54738735104974,356.16729312951554,-1.337900372339946,0.4017983187020948,-0.12653582965365875,,,,0.4994218485564702,-0.37760517791201853,-0.22130560626464704,7193.0,Low Both
POL,34.441009022105476,492.2793483021544,488.9600537637015,488.7136290629063,499.1643620798552,-0.10514068515163943,-0.3280436378448635,-0.15054053872969617,,,,-0.6856662384712434,-0.31210981557683715,-0.04694302744691466,6011.0,Both
PRT,33.89709603662123,477.6241991192667,471.91052210574856,476.58861113023045,484.37346412182103,-0.22635525994346117,0.2415419739873867,0.0249588988569964,-0.11016853512771395,0.025880047715848183,0.11046588278188944,0.32979579161997075,0.08436959236315315,0.030224989325434576,6793.0,Both
PSE,18.46015362230696,361.2396071598005,365.7466764424854,349.1570504195015,368.8150946174146,-0.9119491977041476,0.21474368597303822,0.06395411616422036,,,,0.3153116280654134,-0.16683105936875064,-0.2983418369195093,7905.0,Low Both
QAT,27.662431798186315,421.93766796714567,414.1062217855216,419.3042673960383,432.4025147198772,0.10747423028135135,0.30496768457488305,0.10382675286729373,,,,0.32993156693531295,-0.15620972359110016,-0.02705902223688819,7676.0,Low Both
QAZ,22.784132177046637,380.7466129047137,396.8822928708397,365.213858350878,380.1436874924234,-0.5093424757669788,0.4198246611667681,0.26288716015219477,,,,0.3862498410188189,-0.16620616518816728,-0.061198607649780884,7720.0,Low Both
QUR,26.891036123676106,439.51983317456467,440.8453088892643,427.52695255395736,450.18723808047224,-0.35106736893698254,0.20054530794438136,-0.11172121958682682,,,,-0.03443439929707102,-0.08210783651128227,0.30837580556606503,3876.0,Calculators
ROU,26.245764300763675,427.9223738654268,427.7599966689727,428.4960173886829,427.5111075386248,-0.36212655566693946,0.13038885436081638,0.17624988546292236,,,,-0.16181388154849707,-0.0172624434193148,0.08124544446168329,7364.0,Low Both
SAU,23.31554004804596,387.2400906527376,388.781606995968,382.5510494111795,390.38761555106515,-0.28960892401505084,0.3493576348347122,0.23926055097060991,0.7922925431960545,0.48115894592869324,0.4950060915370712,0.49186683372685164,0.0021375021863119263,0.39493568292486286,6928.0,Low Both
SGP,40.95884636290273,559.5501389093325,574.6638195932204,542.5533222174772,561.4332749173001,0.3064482318690433,0.3380635143298168,-0.17459277878535423,,,,0.3845554491441297,-0.22485453435498354,0.21869349599634333,6606.0,Both
SLV,22.965416296415246,360.5046863440052,343.4691009767226,364.9036436244625,373.14131443083045,-1.391598156704186,0.5040708212652593,0.27810255611679224,,,,0.5852510727130773,-0.26903545811084345,0.11670560119757187,6705.0,Low Both
SRB,28.6845339164139,442.56410020071723,439.8766666814575,440.35496944760763,447.4606644730866,-0.20239388689623117,-0.002533694192395295,-0.012116510191482863,,,,-0.17914100077068784,0.1805049386490097,-0.08373225865697076,6413.0,Both
SVK,29.219696278852904,457.7082363339669,463.9946184782649,446.86060740452825,462.26948311910746,-0.3029966638479775,-0.04108214497876606,-0.1604276496348665,,,,-0.20992050927188488,-0.20072176769533145,0.061216731552336937,5824.0,Both
SVN,29.986581547664084,484.34330127373585,484.52900864834976,468.5360126993491,499.9648824735086,0.22580826383510563,-0.07510401264580428,-0.1473966874161047,,,,-0.4147193212525932,0.03857590553917451,0.07186304900992907,6721.0,Both
TAP,32.623591795564295,533.2139451818682,547.094164388606,515.1672901092181,537.3803810477806,-0.18541301096194934,0.25563827636618786,-0.2208794765767593,,,,0.23632986678646228,0.01298399317007949,0.337946049747534,5857.0,Both
THA,20.930086261779085,393.9575563024042,393.9453559167337,378.6630042589604,409.26430873151855,-1.231038646023137,0.17340255877065786,-0.2626829033599667,,,,0.3399327186920346,-0.34325224306415436,0.03499131719675659,8495.0,Low Both
URY,28.64206319924303,424.81885454454715,408.71206639217013,430.3597244432733,435.38477279819784,-0.8328537154717345,0.12588977064888157,0.200990039880595,,,,0.1265595513124432,-0.08233223222841249,-0.3050003046786941,6618.0,Low Both
UZB,14.495030392958208,351.43461319946147,363.9353746814325,335.50489976342425,354.8635651535274,-0.6886793689979404,0.5392039454520258,0.2011311675646318,,,,0.3915719991189774,0.08308614794456844,0.296560800271174,7293.0,Low Both
