CNT,academic,share_omit,share_fast_right,share_slow_right,share_fast_wrong,share_slow_wrong,speed_style,n_students,oecd,name
ISR,465.2444139913789,7.8145705218514605,25.10547557576901,25.860025320389557,23.97543082447409,17.244497757515894,51.03645591687928,6621.0,True,Israel
ITA,476.9620885323632,6.254450125020074,23.690712007330553,30.517548369221934,19.33425950107408,20.203029997353347,44.39348272630282,11785.0,True,Italy
JPN,519.9882418589962,4.9880193099575445,33.96183250416397,25.70896090983899,21.322232956384827,14.018954319654641,57.24061390050142,6109.0,True,Japan
KAZ,402.3809144160144,8.100110266487743,15.08311884531108,24.461406717938974,22.4941615762733,29.8612025939889,37.75396980117195,19501.0,False,Kazakhstan
KOR,519.6926760311592,1.7940374054052168,51.25407046722154,12.042876121344099,28.188900643607028,6.7201153624221215,80.97633625094879,6649.0,True,Korea
KSV,361.27759565209266,4.488121510832288,14.558576378818557,18.119133883521346,32.889811495392614,29.944356731435196,46.32895669450408,5058.0,False,Kosovo
LTU,479.7046581246262,3.957697512783721,24.370607790290364,30.250267167348877,20.35223200179573,21.06919552778131,44.92736535154694,6882.0,True,Lithuania
LUX,476.7254269315743,7.780790306723229,23.019579603542233,28.729353873098614,19.989694371466445,20.480581845169475,44.69085662252252,5230.0,True,Luxembourg
LVA,487.3585310662643,4.5171082495662285,24.59473423377085,31.12808782844983,18.969184911976814,20.79088477623626,44.2410509194943,5303.0,True,Latvia
MAC,542.1240443471872,5.630809978451456,43.45873085420619,18.536315210353106,22.011966777846016,10.362177179143238,68.86968827954352,3775.0,False,Macao
MAR,367.9237168132913,13.044996408397399,11.136454725066653,21.399424299665476,22.01721447335806,32.40191009351241,34.52571668014434,6807.0,False,Morocco
MEX,416.15836203613907,9.622736940944046,14.726808546195166,25.695525038876948,20.3606949052636,29.594234568720225,35.497911601589756,7299.0,True,Mexico
MLT,458.84983264677436,5.584583041914281,27.05640497111782,23.44967990756331,26.923327906431172,16.986004172973416,56.07020812582687,3363.0,False,Malta
MNE,421.9471155934569,7.95999782313665,18.060354805765712,25.072034226202263,23.961133810553616,24.946479334341742,42.76214820131002,6666.0,False,Montenegro
MYS,430.9350415296524,2.684726281397597,19.453805416976337,25.587023350384065,25.164078595413564,27.11036635582843,43.50784837329106,6111.0,False,Malaysia
NLD,502.4661759323772,2.5425043203973643,31.273954516939988,27.68730942508591,23.153486827192022,15.34274491038471,54.64611278354027,4765.0,True,Netherlands
NOR,496.9426313016484,7.759683726568905,25.221129084904874,30.211680067780105,18.77179674729747,18.035710373448655,46.37896398187064,5813.0,True,Norway
NZL,502.9025602819602,5.012671062857466,31.492541104909144,26.269892850116083,20.416688681175486,16.808206300941823,53.94044785075854,6173.0,True,New Zealand
PAN,364.88252441842593,19.54919189291965,9.651866091590062,22.2048793764639,16.28799837446074,32.306064264565634,29.347544501808347,6250.0,False,Panama
PER,401.5223273590627,18.459707251728933,11.732686539684762,24.365702158689928,16.48007690859484,28.961827141301544,30.148447782768763,6086.0,False,Peru
PHL,349.7541982284252,6.797299306914439,16.158404028980627,14.774496606998607,36.380886064917185,25.88891399218914,53.12034635988358,7231.0,False,Philippines
POL,512.8463772605311,3.640464282546043,28.894446936371715,31.226928471223797,18.175000253355154,18.063160056503293,47.68003747916821,5625.0,True,Poland
PRT,491.98850658808027,6.251492269092984,26.488224093697493,28.712030636239355,20.36437647361732,18.183876527352847,48.443631705962794,5932.0,True,Portugal
QAT,413.4825548825916,8.51584591362999,21.50043590038589,19.47858986532727,31.58676170340568,18.918366617251163,55.259547185154865,13828.0,False,Qatar
QAZ,402.2270091924585,11.360729048841812,16.354182188860648,22.2031604475734,25.282896535837168,24.799031778886967,43.164682630955774,6827.0,False,Baku (AZE)
QCI,579.0274935156026,1.7274377849958196,49.77968584212648,20.8301354759183,18.60603012335397,9.056710773605412,69.70005884184958,12058.0,False,B-S-J-Z (China)
QMR,488.63140545283795,4.46458275095871,25.259183333067735,31.470328845910455,18.832751648571687,19.97315342149144,44.64827824030775,2016.0,False,Moscow Reg.
QRT,467.16946755835056,4.028523806776241,24.55021776537785,28.653837799672893,22.621338865402645,20.146081762770375,47.2322905569563,5812.0,False,Tatarstan
RUS,481.34944925364834,4.750382119519223,23.895718712407728,31.3146218909912,19.074743101312126,20.964534175769735,43.58772423842356,7605.0,False,Russia
SGP,556.4806871255482,2.2758315720992117,44.66564322017464,22.87574902399281,19.60742377653772,10.575352407195625,65.6752739057688,6675.0,False,Singapore
SRB,442.5410956556552,7.761905601178618,19.530703349546997,28.894920864896285,21.045709103368115,22.76676108101,41.33071026884288,6609.0,False,Serbia
SVK,469.3985110882987,4.158195461010253,21.893692590107197,31.808453730084924,20.247200851554258,21.892457367243367,41.41444409160932,5962.0,True,Slovakia
SVN,503.74990172723506,3.163664308470876,27.334256316963796,32.02358003944513,18.645880784857322,18.832618550262865,46.548909628349286,6401.0,True,Slovenia
SWE,502.5707424080328,10.3395769117248,22.021341540070594,32.44429978349139,15.66833043861417,19.52645132609905,40.27719206348486,5503.0,True,Sweden
TAP,516.5065380110659,2.237122425525767,46.28493086136487,14.480199524855344,28.36621467778903,8.63153251046497,76.27852061198969,7242.0,False,Chinese Taipei
THA,412.4377340332425,4.516800963676443,19.853067716536817,22.432848289268414,29.22811822654851,23.969164803969832,47.177951297136815,8628.0,False,Thailand
TUR,462.4796877134828,5.123087697790835,23.21284262731332,27.65155440586287,20.646137089235715,23.366378179797266,44.0595534818802,6890.0,True,Turkey
URY,423.53063736737687,13.628827882379934,14.820663142120505,26.453915955302286,18.08750516413212,27.009087856065157,35.68712668832331,5263.0,False,Uruguay
USA,495.3258401427317,3.904930449062821,32.513363602020334,24.158004955359974,23.587167386079262,15.836533607477612,57.121458632846874,4838.0,True,USA
